block_off	str_off	speaker	text
0x0	0x33e		ででイイ？？ザゴゴゴ
0x0	0x358		誓でで┬ででイイ！！ブブゴゴ
0x0	0x5bdc		脆毒ください。ゑぁじつかつかつ
0x382d	0x758		誓でで┬ででイイ！！ブブゴゴ
0x382d	0x77e		ででイイ？？ザゴゴゴ
0x382d	0x798		誓でで┬ででイイ！！ブブゴゴ
0x382d	0x5651		る暗黒魔術なのぺでぷの⟨14⟩、。⟨17⟩も水竜ま緑竜ど船長ぱま８４
0x6ee0	0xb8		、、ほほ様でで
0x6ee0	0x29e		ででイイ？？ザゴゴゴ
0x6ee0	0x2be		ででイイ？？ザゴゴゴ
0x6ee0	0x2d8		誓でで┬ででイイ！！ブブゴゴ
0x6ee0	0x4be6		やゾそ似あ紫あく頬ぞそあぎぎくそあぞぞきぎぎ。きぎ。く⟨17⟩ぎ毎き⟨17⟩ぎ奔ああぞ嫉ぞぞ纂ぞぞああぞあ５６ぎくこぃそぞぃこそぞここそぞきぎぎく
0x6ee0	0x4fc7		んです。セドドナナソソゥシイソソト
0xa6cd	0x1f8		、、ほほ様でで
0xa6cd	0x25e		ででイイ？？ザゴゴゴ
0xa6cd	0x27e		ででイイ？？ザゴゴゴ
0xa6cd	0x298		誓でで┬ででイイ！！ブブゴゴ
0x235d2	0xa	カル伯爵	ブラフォードは、既にクーレイアに侵入している。\nお前達の到着を待っているであろう。\nカル伯爵\nクーレイアは、１年前までミルジーナ大陸の大峡谷にあった。\nしかし、今、このタリアトフ大陸に戻って来ている。
0x235d2	0x91	ウォーリック	このタリアトフに。\n・・・それで、その位置は？
0x235d2	0xcc	カル伯爵	到底、徒歩で行ける所ではない。\n強力な結界が張られている。\n瞬間移動の魔法でも、送り側からのサポートが必要だ。\nカル伯爵\nセスよ。\n瞬間移動の魔法は使えたのだったな。
0x235d2	0x172	セス	はい。\n長距離移動も可能です。
0x235d2	0x196	カル伯爵	よし。\n問題は、無いな。
0x235d2	0x1bf	ウォーリック	では、一刻も早く行きます。\nブラフォードが心配だ。
